#     MJD[days]  log10(E/GeV)   AngErr[deg]       RA[deg]      Dec[deg]  Azimuth[deg]   Zenith[deg]
   56783.64893189          4.38          0.20        27.221       -17.379       160.643        72.686
   56783.65733934          3.06          0.37       279.545        24.957       271.366       114.972
   56783.66004422          3.19          0.83       105.719         8.523        86.130        98.496
   56783.66047455          4.29          0.20       189.144       -14.369         2.859        75.554
   56783.66114936          4.40          0.20        42.639       -15.347       149.638        74.704
   56783.67001355          2.95          2.21       266.936         0.485       288.516        90.485
   56783.67187752          4.92          0.20       170.305       -25.012        25.824        64.908
   56783.67318692          2.94          0.69       208.927        18.024       347.683       107.959
   56783.68366486          3.10          0.42        42.046         9.055       158.334        99.106
   56783.68795461          2.93          0.67        19.361         0.012       182.576        90.080
   56783.68927398          3.67          0.20         2.743        -8.634       199.671        81.442
   56783.69353345          2.84          1.19       228.505        17.057       335.455       107.009
   56783.69521561          3.52          0.44       260.111        55.526       304.547       145.516
   56783.69824243          3.21          1.85        49.010        22.360       156.616       112.404
   56783.69917105          3.32          0.72       351.068         1.195       214.916        91.271
   56783.70262118          3.10          1.04       186.956         9.487        20.269        99.410
   56783.71124931          2.73          2.62       146.126        33.938        64.189       123.871
   56783.71281457          2.96          0.82       278.437         7.889       292.477        97.906
   56783.71438878          3.40          0.93       327.572         7.989       243.908        98.056
   56783.71554788          2.95          0.60       201.953        62.066         9.997       151.998
   56783.71660611          2.60          0.65       276.333        39.212       295.999       129.224
   56783.71896375          3.00          0.56        21.513        29.537       191.599       119.604
   56783.72684582          4.07          0.20       115.279       -12.952       100.710        77.006
   56783.73129587          2.92          0.41       289.355        15.336       288.240       105.366
   56783.73704836          3.83          0.52       170.548         6.939        49.102        96.860
   56783.74551391          2.86          1.21        44.607        14.908       178.093       104.957
   56783.74582892          2.96          0.80       187.515        46.159        35.322       136.084
   56783.75517749          3.38          1.12       315.402         8.777       270.804        98.836
   56783.75852875          3.07          1.31        12.942        11.314       214.466       101.387
   56783.75979654          2.81          0.78       265.321         8.653       322.553        98.652
   56783.76255686          3.03          1.41         5.911        33.883       222.946       123.958
   56783.76315998          4.73          0.20       303.372       -24.728       285.678        65.323
   56783.76361061          3.48          0.23        30.714         9.175       198.527        99.237
   56783.76576056          2.90          4.78       184.102        77.697        45.961       167.622
   56783.76753532          3.95          0.24        20.248         4.472       210.414        94.542
   56783.77176057          3.01          0.40       247.003        10.628       345.191       100.602
   56783.78153101          4.22          0.20        68.519        -9.253       167.210        80.767
   56783.78268299          2.97          1.26       325.386        32.978       270.768       123.044
   56783.78321417          5.11          0.28       294.309       -49.088       301.927        40.955
   56783.78437310          3.29          0.23       187.469        20.891        49.272       110.813
   56783.78558704          2.97          0.90       254.546        26.606       342.664       116.589
   56783.78915118          3.27          0.35        83.921        45.235       154.467       135.236
