#     MJD[days]  log10(E/GeV)   AngErr[deg]       RA[deg]      Dec[deg]  Azimuth[deg]   Zenith[deg]
   56044.32957737          3.16          0.31       113.474        62.092       310.601       152.072
   56044.33383079          2.76          1.21       244.225        35.807       181.544       125.770
   56044.33753913          5.43          0.20       291.540       -36.834       135.478        53.189
   56044.34859436          2.89          0.61       113.758        49.487       317.228       139.466
   56044.37043404          5.14          0.20       171.328       -58.312       267.633        31.616
   56044.37174873          2.76          1.05       121.568        31.361       317.815       121.329
   56044.37322855          2.80          1.48        52.761        39.445        27.156       129.489
   56044.38080436          3.57          0.52       305.027        56.640       137.749       146.671
   56044.38214963          2.70          1.84       211.974        69.523       231.271       159.462
   56044.38649708          3.09          0.83       307.193        44.771       137.606       134.804
   56044.38680139          3.08          1.24       165.457        39.935       279.375       129.871
   56044.39373567          4.10          0.46       139.680       -10.139       307.683        79.809
   56044.39396882          2.76          2.31       181.336        20.414       266.098       110.346
   56044.39521181          3.01          1.63       189.732        33.370       258.157       123.302
   56044.40340981          3.37          0.98       253.402        44.966       197.504       134.940
   56044.40432267          3.39          0.41       107.103        -0.373       344.078        89.609
   56044.40519294          4.98          0.20       258.038       -73.122       193.224        16.863
   56044.40524088          3.40          1.10       200.471        36.988       251.047       126.923
   56044.40860883          2.95          0.43        83.849        16.808         8.860       106.818
   56044.42148985          3.53          0.48       197.861        -1.515       259.509        88.418
   56062.42202698          3.00          0.89        75.570        -1.436        39.746        88.581
   56062.42285056          3.02          0.32        23.924        26.976        91.675       117.035
   56062.43091269          2.99          0.41       123.959        21.079       354.539       111.045
   56062.43344185          3.00          0.50       122.467        28.241       356.935       118.209
   56062.43732479          3.07          0.86       351.554        12.725       129.283       102.787
   56062.44356566          5.12          0.20        73.955       -61.947        49.259        28.070
   56062.44614679          2.89          3.83        39.415         6.541        84.602        96.591
   56062.44869382          5.25          0.81       145.216       -35.595       339.748        54.348
   56062.45532647          2.95          0.34       134.211        -3.768       353.124        86.185
   56062.45538243          2.93          3.34       346.983        19.100       140.376       109.161
   56062.45892190          5.19          0.20        85.534       -55.275        43.196        34.728
   56062.45913508          4.63          0.20       119.917       -60.138         8.893        29.825
   56062.46273196          3.58          1.02        32.062        -0.302        97.947        89.752
   56062.46607845          3.41          1.22       354.806        24.414       136.412       114.476
   56062.46758154          2.76          0.62       300.750        41.962       191.052       131.991
   56062.46765552          5.64          0.51       243.147       -36.920       248.584        53.049
   56062.47275057          2.98          0.66       166.667         3.026       326.951        92.961
   56062.47593868          3.35          2.24       106.856        76.241        27.675       166.226
